datetime;t;p
22.12.2023 23:00;0.5;753.7
22.12.2023 20:00;0.1;753.4
22.12.2023 17:00;0.6;753.1
22.12.2023 14:00;3.1;752.9
22.12.2023 11:00;2.1;752.5
22.12.2023 08:00;3.1;751.5
22.12.2023 05:00;4.1;750.7
22.12.2023 02:00;3.6;749.8
21.12.2023 23:00;2.0;749.2
21.12.2023 20:00;1.3;749.5
21.12.2023 17:00;0.2;750.0
21.12.2023 14:00;1.8;749.4
21.12.2023 11:00;0.3;748.6
21.12.2023 08:00;-1.4;746.6
21.12.2023 05:00;-1.7;745.4
21.12.2023 02:00;-2.1;744.8
20.12.2023 23:00;-3.0;743.9
20.12.2023 20:00;-4.2;744.1
20.12.2023 17:00;-5.4;745.6
20.12.2023 14:00;-5.5;746.5
20.12.2023 11:00;-7.8;748.9
20.12.2023 08:00;-7.6;749.6
20.12.2023 05:00;-7.2;749.7
20.12.2023 02:00;-7.4;749.4
19.12.2023 23:00;-7.9;748.7
19.12.2023 20:00;-8.6;748.1
19.12.2023 17:00;-9.4;747.7
19.12.2023 14:00;-9.8;746.9
19.12.2023 11:00;-11.9;746.7
19.12.2023 08:00;-10.9;746.2
19.12.2023 05:00;-10.2;746.2
19.12.2023 02:00;-9.8;746.9
18.12.2023 23:00;-11.4;748.3
18.12.2023 20:00;-11.2;749.9
18.12.2023 17:00;-11.6;751.3
18.12.2023 14:00;-9.7;752.3
18.12.2023 11:00;-11.7;753.4
18.12.2023 08:00;-12.9;753.9
18.12.2023 05:00;-10.7;754.4
18.12.2023 02:00;-10.7;755.4
17.12.2023 23:00;-11.4;756.4
17.12.2023 20:00;-11.6;757.1
17.12.2023 17:00;-11.6;757.9
17.12.2023 14:00;-11.8;758.4
17.12.2023 11:00;-13.3;760.0
17.12.2023 08:00;-14.8;761.4
17.12.2023 05:00;-15.3;763.2
17.12.2023 02:00;-17.0;765.0
16.12.2023 23:00;-16.8;766.3
16.12.2023 20:00;-15.7;767.5
16.12.2023 17:00;-15.4;768.5
16.12.2023 14:00;-11.4;769.0
16.12.2023 11:00;-19.9;769.9
16.12.2023 08:00;-21.4;769.9
16.12.2023 05:00;-20.8;770.2
16.12.2023 02:00;-16.4;770.6
15.12.2023 23:00;-16.8;771.1
15.12.2023 20:00;-15.4;771.4
15.12.2023 17:00;-15.6;771.8
15.12.2023 14:00;-14.4;772.2
15.12.2023 11:00;-17.6;772.9
15.12.2023 08:00;-19.0;773.3
15.12.2023 05:00;-19.3;774.1
15.12.2023 02:00;-18.7;775.0
14.12.2023 23:00;-20.6;775.9
14.12.2023 20:00;-20.9;776.5
14.12.2023 17:00;-19.0;777.6
14.12.2023 14:00;-16.0;778.0
14.12.2023 11:00;-20.5;778.7
14.12.2023 08:00;-22.8;778.8
14.12.2023 05:00;-22.8;779.7
14.12.2023 02:00;-23.2;780.2
13.12.2023 23:00;-23.1;780.7
13.12.2023 20:00;-22.2;780.8
13.12.2023 17:00;-20.5;780.7
13.12.2023 14:00;-18.3;780.6
13.12.2023 11:00;-21.2;781.5
13.12.2023 08:00;-23.6;781.9
13.12.2023 05:00;-24.5;782.3
13.12.2023 02:00;-26.7;782.8
12.12.2023 23:00;-27.6;783.4
12.12.2023 20:00;-28.8;784.0
12.12.2023 17:00;-29.7;784.7
12.12.2023 14:00;-30.4;785.4
12.12.2023 11:00;-35.2;785.6
12.12.2023 08:00;-38.4;785.7
12.12.2023 05:00;-38.4;785.4
12.12.2023 02:00;-35.6;785.4
11.12.2023 23:00;-34.5;784.7
11.12.2023 20:00;-34.0;784.0
11.12.2023 17:00;-33.8;783.1
11.12.2023 14:00;-33.9;781.7
11.12.2023 11:00;-36.5;780.6
11.12.2023 08:00;-36.3;778.8
11.12.2023 05:00;-35.1;777.1
11.12.2023 02:00;-33.3;775.6
10.12.2023 23:00;-32.2;775.0
10.12.2023 20:00;-30.7;774.3
10.12.2023 17:00;-28.0;773.5
10.12.2023 14:00;-26.0;772.3
10.12.2023 11:00;-25.6;772.0
10.12.2023 08:00;-24.1;771.1
10.12.2023 05:00;-23.8;770.8
10.12.2023 02:00;-23.3;770.5
09.12.2023 23:00;-21.9;770.3
09.12.2023 20:00;-21.7;770.1
09.12.2023 17:00;-24.1;769.9
09.12.2023 14:00;-25.7;770.0
09.12.2023 11:00;-28.8;770.5
09.12.2023 08:00;-33.0;770.2
09.12.2023 05:00;-33.7;770.2
09.12.2023 02:00;-32.3;770.5
08.12.2023 23:00;-32.2;770.9
08.12.2023 20:00;-32.3;771.5
08.12.2023 17:00;-31.7;772.6
