Возраст,Пол,Квалификация,Стаж,Семейное положение,Иждивенцы,Срок проживания,Иностранное гражданство,Телефон,Банковский счет,Сберегательный счет,Собственность,Плата за жилье,Кредитный рейтинг,Число кредитов,Другие кредиты,Сумма,Срок,Процентная ставка платежа,Поручители,Цель,Класс
0,67.0,1,2,4.0,никогда не состоял(а),1,4,1,1,-1,0,недвижимость,собственность,0,2,нет,1169,6,4,нет,радио/телевидение,1
1,22.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,1,1,недвижимость,собственность,2,1,нет,5951,48,2,нет,радио/телевидение,0
2,49.0,1,1,3.0,никогда не состоял(а),2,3,1,0,0,1,недвижимость,собственность,0,1,нет,2096,12,2,нет,образование,1
3,45.0,1,2,3.0,никогда не состоял(а),2,4,1,0,-1,1,страхование жизни/сберегательный договор,бесплатно,2,1,нет,7882,42,2,поручитель,мебель/оборудование,1
4,53.0,1,2,2.0,никогда не состоял(а),2,4,1,0,-1,1,неизвестно/нет собственности,бесплатно,1,2,нет,4870,24,3,нет,автомобиль (новый),0
5,35.0,1,1,2.0,никогда не состоял(а),2,4,1,1,0,0,неизвестно/нет собственности,бесплатно,2,1,нет,9055,36,2,нет,образование,1
6,53.0,1,2,4.0,никогда не состоял(а),1,4,1,0,0,3,страхование жизни/сберегательный договор,собственность,2,1,нет,2835,24,3,нет,мебель/оборудование,1
7,35.0,1,3,2.0,никогда не состоял(а),1,2,1,1,1,1,автомобиль,аренда,2,1,нет,6948,36,2,нет,автомобиль (б/у),1
8,61.0,1,1,3.0,живет раздельно/разведен,1,4,1,0,0,4,недвижимость,собственность,2,1,нет,3059,12,2,нет,радио/телевидение,1
9,28.0,1,3,0.0,женат/овдовел,1,2,1,0,1,1,автомобиль,собственность,0,2,нет,5234,30,4,нет,автомобиль (новый),0
10,25.0,0,2,1.0,замужем/живет раздельно/разведена,1,1,1,0,1,1,автомобиль,аренда,2,1,нет,1295,12,3,нет,автомобиль (новый),0
11,24.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,страхование жизни/сберегательный договор,аренда,2,1,нет,4308,48,3,нет,бизнес,0
12,22.0,0,2,2.0,замужем/живет раздельно/разведена,1,1,1,1,1,1,автомобиль,собственность,2,1,нет,1567,12,1,нет,радио/телевидение,1
