Id;Длина улицы, примыкающей к участку;Площадь 1-го этажа;Площадь 2-го этажа;Материал кровли;Материал наружного покрытия дома;Район расположения;Количество спален;Вместимость гаража (количество машиномест);Цена
1;65.0;856;854;CompShg;VinylSd;CollgCr;3;2;208500
2;80.0;1262;0;CompShg;MetalSd;Veenker;3;2;181500
3;68.0;920;866;CompShg;VinylSd;CollgCr;3;2;223500
4;60.0;961;756;CompShg;Wd Sdng;Crawfor;3;3;140000
5;84.0;1145;1053;CompShg;VinylSd;NoRidge;4;3;250000
6;85.0;796;566;CompShg;VinylSd;Mitchel;1;2;143000
7;75.0;1694;0;;VinylSd;Somerst;3;2;307000
12;85.0;1182;1142;CompShg;WdShing;NridgHt;4;3;345000
14;91.0;1494;0;CompShg;VinylSd;CollgCr;3;3;279500
19;66.0;1114;0;CompShg;VinylSd;SawyerW;3;2;159000
20;70.0;1339;0;CompShg;BrkFace;Names;3;1;139000
21;101.0;1158;1218;CompShg;VinylSd;NridgHt;4;3;325300
22;57.0;1108;0;CompShg;Wd Sdng;IDOTRR;3;1;139400
23;75.0;1795;0;CompShg;VinylSd;CollgCr;3;2;230000
26;110.0;1600;0;CompShg;VinylSd;NridgHt;3;3;256300
28;98.0;1704;0;CompShg;VinylSd;NridgHt;3;3;306000
29;47.0;1600;0;;MetalSd;Names;2;1;207500
33;85.0;1234;0;CompShg;VinylSd;CollgCr;3;2;179900
34;70.0;1700;0;CompShg;BrkFace;Names;4;2;165500
35;60.0;1561;0;CompShg;MetalSd;NridgHt;2;2;277500
36;108.0;1132;1320;CompShg;VinylSd;NridgHt;4;3;309000
37;112.0;1097;0;CompShg;VinylSd;CollgCr;3;2;145000
38;74.0;1297;0;CompShg;Wd Sdng;Names;3;2;153000
41;84.0;1324;0;;Wd Sdng;Names;3;2;160000
42;115.0;1328;0;;VinylSd;Timber;2;1;170000
45;70.0;1150;0;CompShg;BrkFace;Names;3;1;141000
46;61.0;1752;0;CompShg;MetalSd;NridgHt;2;2;319900
47;48.0;1518;631;CompShg;VinylSd;Mitchel;1;2;239686
48;84.0;1656;0;CompShg;VinylSd;Somerst;3;3;249700
54;68.0;1842;0;WdShngl;WdShing;Veenker;0;3;385000
56;100.0;1425;0;CompShg;HdBoard;Names;3;2;180500
57;24.0;983;756;CompShg;MetalSd;Somerst;3;2;172500
58;89.0;860;860;CompShg;VinylSd;CollgCr;3;2;196500
59;66.0;1426;1519;CompShg;VinylSd;StoneBr;3;3;438780
61;63.0;1158;0;CompShg;VinylSd;SawyerW;3;2;158000
63;44.0;1370;0;CompShg;VinylSd;NridgHt;2;2;202500
64;50.0;902;808;CompShg;Stucco;OldTown;3;2;140000
66;76.0;1143;1330;CompShg;VinylSd;NridgHt;4;3;317000
68;72.0;1479;0;CompShg;VinylSd;CollgCr;3;2;226000
70;81.0;1304;983;CompShg;BrkFace;ClearCr;3;2;225000
71;95.0;2223;0;CompShg;Plywood;Names;3;2;244000
73;74.0;885;833;CompShg;VinylSd;Gilbert;3;2;185000
74;85.0;1086;0;CompShg;Wd Sdng;Names;3;2;144900
79;72.0;1768;0;CompShg;HdBoard;Sawyer;4;0;136500
81;100.0;1182;960;CompShg;VinylSd;Names;4;1;193500
82;32.0;1337;0;CompShg;VinylSd;Mitchel;2;2;153500
83;78.0;1563;0;CompShg;VinylSd;Somerst;3;3;245000
86;121.0;1301;1116;CompShg;HdBoard;NoRidge;4;2;260000
87;122.0;684;876;CompShg;VinylSd;Gilbert;3;2;174000
88;40.0;612;612;CompShg;VinylSd;Somerst;2;2;164500
93;80.0;964;0;;Wd Sdng;Crawfor;2;2;163500
95;69.0;905;881;CompShg;VinylSd;CollgCr;3;2;204750
97;78.0;1588;0;CompShg;VinylSd;CollgCr;3;2;214000
102;77.0;977;755;CompShg;HdBoard;SawyerW;3;2;178000
