ID клиента;Возраст;Пол;Срок сотрудничества;Кредитный рейтинг;Сумма на банковском счете;Количество банковских продуктов;Кредитная карта;Статус сотрудничества
15701042;27.0;Женский;2;596;151027.56;1;Есть;Остается клиентом
15603247;35.0;Женский;1;743;146781.24;1;Есть;Остается клиентом
15567802;34.0;Женский;2;450;0.0;2;Есть;Остается клиентом
15713975;47.0;Женский;10;565;139756.12;1;Есть;Покинул банк
15772363;42.0;Женский;0;772;101979.16;1;Есть;Остается клиентом
15806230;40.0;Мужской;2;629;121647.54;2;Есть;Покинул банк
15748797;33.0;Женский;0;636;0.0;1;Есть;Покинул банк
15690526;31.0;Мужской;2;690;137260.45;2;Есть;Остается клиентом
15717010;60.0;Женский;5;741;0.0;1;Есть;Остается клиентом
15774872;36.0;Мужской;10;663;0.0;2;Есть;Остается клиентом
15792180;22.0;Мужской;7;566;144954.75;2;Есть;Остается клиентом
15641389;48.0;Мужской;4;659;123593.22;2;Есть;Покинул банк
15602479;37.0;Мужской;5;609;129312.79;1;Есть;Остается клиентом
15745399;49.0;Женский;2;649;0.0;1;Есть;Покинул банк
15649121;52.0;Мужской;3;665;0.0;1;Есть;Покинул банк
15591286;49.0;Женский;4;731;88826.07;1;Есть;Покинул банк
15612140;46.0;Женский;7;721;137933.39;1;Есть;Остается клиентом
15666270;40.0;Женский;2;676;147803.48;1;Есть;Покинул банк
15668347;36.0;Мужской;6;624;0.0;2;Нет;Остается клиентом
15734246;21.0;Женский;8;746;166883.07;2;Нет;Остается клиентом
15738907;60.0;Женский;6;798;96956.1;1;Есть;Покинул банк
15599081;46.0;Женский;8;507;102785.16;1;Есть;Остается клиентом
15669491;46.0;Женский;2;850;157866.77;1;Есть;Остается клиентом
15798659;43.0;Женский;3;526;0.0;2;Есть;Остается клиентом
15630466;45.0;Мужской;8;797;0.0;1;Нет;Остается клиентом
15589257;35.0;Женский;3;670;103465.02;2;Есть;Остается клиентом
15800061;45.0;Женский;3;495;89158.94;3;Есть;Покинул банк
15588449;27.0;Женский;5;591;107812.67;1;Нет;Покинул банк
15662501;48.0;Мужской;3;583;91246.53;1;Есть;Покинул банк
15584704;48.0;Мужской;10;519;71083.98;1;Есть;Остается клиентом
15570601;47.0;Женский;9;785;122031.55;1;Есть;Покинул банк
15607133;49.0;Женский;1;717;110864.38;2;Есть;Покинул банк
15633944;32.0;Мужской;3;644;136659.74;1;Есть;Остается клиентом
15690958;23.0;Мужской;2;767;139542.82;1;Нет;Остается клиентом
15569526;40.0;Мужской;10;601;98627.13;2;Нет;Остается клиентом
15662736;49.0;Мужской;2;559;147069.78;1;Есть;Покинул банк
15662532;31.0;Мужской;8;757;149085.9;2;Есть;Остается клиентом
15703588;25.0;Мужской;5;665;153611.83;2;Есть;Остается клиентом
15737071;60.0;Женский;5;639;162039.78;1;Есть;Покинул банк
15720924;34.0;Женский;1;585;0.0;1;Есть;Остается клиентом
15751137;36.0;Женский;3;850;169025.83;1;Есть;Остается клиентом
15708713;35.0;Мужской;3;633;0.0;2;Есть;Остается клиентом
